epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.05114,0.02265,0.08629,0.16415,0.00044618950632491314,597.4
1,frozen,,0.16082,0.07087,0.2698,0.21845,0.0004356942429338488,1165.3
2,frozen,,0.21825,0.09599,0.31082,0.2776,0.00040430018638372325,1732.8
3,frozen,,0.25903,0.11347,0.34701,0.31851,0.0003554027969267121,2301.9
4,frozen,,0.26905,0.11988,0.35046,0.31985,0.0002937884917310129,2865.6
5,frozen,,0.29033,0.13068,0.38522,0.3253,0.0002254885082812879,3430.9
6,frozen,,0.30056,0.13318,0.39078,0.33685,0.00015718852483156284,3995.9
7,frozen,,0.3151,0.14232,0.40726,0.34391,9.557421963586367e-05,4565.3
8,frozen,,0.32737,0.14739,0.39634,0.36427,4.667683017885243e-05,5133.2
9,frozen,,0.32669,0.14691,0.40679,0.35836,1.5282773628726842e-05,5697.8
10,frozen,,0.327809045188907,0.14747497987680497,0.39870364992066437,0.36141510124339654,1.5282773628726842e-05,5731.5
0,full,,0.34734,0.15526,0.43475,0.38333,4.461895063249132e-05,6662.4
1,full,,0.39085,0.1781,0.45557,0.42068,4.356942429338488e-05,7541.8
2,full,,0.4193,0.19134,0.49113,0.43309,4.043001863837233e-05,8422.5
3,full,,0.43386,0.19698,0.48839,0.45052,3.554027969267121e-05,9301.9
4,full,,0.43536,0.199,0.49102,0.45478,2.937884917310129e-05,10180.7
5,full,,0.44854,0.2094,0.50529,0.45905,2.254885082812879e-05,11059.5
6,full,,0.44769,0.20548,0.51434,0.44828,1.5718852483156285e-05,11935.7
7,full,,0.44975,0.20888,0.52289,0.45442,9.557421963586368e-06,12815.8
