epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.03947,0.01692,0.06675,0.16554,0.00044618950632491314,1235.1
1,frozen,,0.17719,0.08005,0.25187,0.25389,0.0004356942429338488,2428.0
2,frozen,,0.22347,0.09696,0.322,0.27916,0.00040430018638372325,3617.4
3,frozen,,0.26758,0.11698,0.34029,0.31941,0.0003554027969267121,4805.4
4,frozen,,0.28303,0.12316,0.35373,0.33807,0.0002937884917310129,5991.8
5,frozen,,0.30044,0.13222,0.39123,0.33425,0.0002254885082812879,7180.3
6,frozen,,0.3098,0.13423,0.40516,0.33624,0.00015718852483156284,8370.3
7,frozen,,0.31878,0.14198,0.40014,0.35683,9.557421963586367e-05,9557.4
8,frozen,,0.33451,0.14873,0.40901,0.35783,4.667683017885243e-05,10743.2
