epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.04055,0.01713,0.06666,0.14419,0.00044618950632491314,608.4
1,frozen,,0.13879,0.0661,0.21218,0.21065,0.0004356942429338488,1175.4
2,frozen,,0.21794,0.09808,0.29536,0.28467,0.00040430018638372325,1740.8
3,frozen,,0.24855,0.10898,0.31781,0.32116,0.0003554027969267121,2305.9
4,frozen,,0.27839,0.12389,0.35011,0.3365,0.0002937884917310129,2870.5
5,frozen,,0.31089,0.13688,0.40386,0.34689,0.0002254885082812879,3435.7
6,frozen,,0.31327,0.13716,0.38745,0.35445,0.00015718852483156284,4000.6
7,frozen,,0.31872,0.14143,0.38971,0.35678,9.557421963586367e-05,4565.0
8,frozen,,0.33628,0.14807,0.42095,0.3637,4.667683017885243e-05,5129.5
9,frozen,,0.33763,0.14953,0.41573,0.36874,1.5282773628726842e-05,5694.5
10,frozen,,0.3387416467197169,0.14982562874056413,0.4154703956209075,0.36727620629867147,1.5282773628726842e-05,5728.2
0,full,,0.33709,0.14894,0.42463,0.37105,4.461895063249132e-05,6656.5
1,full,,0.39615,0.17735,0.47234,0.41328,4.356942429338488e-05,7534.3
2,full,,0.42091,0.19038,0.48777,0.42203,4.043001863837233e-05,8412.7
3,full,,0.44062,0.20368,0.5074,0.44541,3.554027969267121e-05,9290.1
4,full,,0.44016,0.19788,0.50559,0.44755,2.937884917310129e-05,10165.0
5,full,,0.44946,0.20462,0.51333,0.45716,2.254885082812879e-05,11042.4
6,full,,0.44771,0.20454,0.52715,0.44026,1.5718852483156285e-05,11917.8
7,full,,0.45321,0.20779,0.51545,0.459,9.557421963586368e-06,12795.7
8,full,,0.45747,0.21031,0.52477,0.46058,4.667683017885243e-06,13672.9
9,full,,0.46078,0.21263,0.5333,0.45916,1.5282773628726846e-06,14550.2
10,full,,0.4594732012492117,0.21167628917481096,0.5325172094742994,0.45711289041297487,1.5282773628726846e-06,14583.3
