epoch,phase,train_loss,val_mAP50,val_mAP50-95,val_precision,val_recall,lr,elapsed_s
0,frozen,,0.05489,0.02277,0.0971,0.18647,0.00044622875751214504,671.0
1,frozen,,0.19874,0.08493,0.28363,0.3069,0.0004356942429338488,1307.9
2,frozen,,0.23896,0.10102,0.33865,0.32633,0.00040430018638372325,1945.4
3,frozen,,0.26814,0.11886,0.36081,0.31241,0.0003554027969267121,2582.8
4,frozen,,0.31527,0.13488,0.41338,0.38415,0.0002937884917310129,3220.3
